Applicant ID,Applicant Name,Job Position,Experience (Years),Skills,Education Level,Application Status,Location,Expected Salary,Resume Score
1315,Applicant_1315,Web Developer,0,"Excel, Docker, Deep Learning, Cloud Computing, Git, Tableau",Master's,Rejected,Dallas,117385,56
2358,Applicant_2358,Data Analyst,5,"HTML, Project Management, Angular, Docker, Communication",Master's,Offer Made,San Francisco,76484,96
3405,Applicant_3405,Web Developer,4,"Power BI, Docker, CSS",Associate's,Under Review,Seattle,146625,55
6796,Applicant_6796,Data Analyst,2,"Python, Java, JavaScript, AWS, HTML, CSS",Associate's,Under Review,Boston,56622,99
9415,Applicant_9415,Web Developer,10,"HTML, Tableau, CSS, Cloud Computing, Power BI, React, Machine Learning",Bachelor's,Rejected,Boston,108244,76
7530,Applicant_7530,Data Scientist,3,"Excel, Communication, AWS, C++, JavaScript",Associate's,Not Shortlisted,Seattle,120571,88
9548,Applicant_9548,UX Designer,10,"Excel, Deep Learning, AWS, Machine Learning",Master's,Offer Made,Austin,56214,84
1686,Applicant_1686,Web Developer,4,"AWS, Git, C++, CSS, Docker, Communication, React",Master's,Under Review,Seattle,64450,87
4292,Applicant_4292,HR Manager,4,"SQL, Docker, Communication, Data Science, C++",Associate's,Interview,San Francisco,68614,68
6895,Applicant_6895,Software Developer,1,"Python, JavaScript, Communication, AWS, C++, Agile",Associate's,Interview,Los Angeles,100252,93
6425,Applicant_6425,Product Manager,7,"Angular, Project Management, Power BI, SQL, Git",Associate's,Rejected,Austin,116571,60
3027,Applicant_3027,HR Manager,8,"Tableau, Deep Learning, Docker",Associate's,Offer Made,Seattle,132758,68
4058,Applicant_4058,Product Manager,1,"Power BI, JavaScript, Project Management, Docker",Master's,Not Shortlisted,New York,139269,52
5130,Applicant_5130,HR Manager,1,"Machine Learning, SQL, AWS, Cloud Computing, Python, Tableau",Associate's,Rejected,Seattle,57318,75
6958,Applicant_6958,Web Developer,2,"Java, Power BI, Agile, Python, Machine Learning, React",Bachelor's,Rejected,Boston,149778,93
4440,Applicant_4440,Data Scientist,4,"React, SQL, Git, Deep Learning",Master's,Offer Made,New York,149928,91
3530,Applicant_3530,Software Developer,1,"AWS, Git, Cloud Computing, JavaScript, Excel, Python, Deep Learning",Associate's,Interview,New York,141057,63
1613,Applicant_1613,UX Designer,2,"C++, Tableau, AWS, Python",Associate's,Offer Made,Los Angeles,141258,79
8099,Applicant_8099,Software Developer,4,"C++, Project Management, Docker, React, SQL, Angular",Associate's,Interview,Chicago,85265,52
7429,Applicant_7429,Data Scientist,10,"Power BI, CSS, Communication, Java, HTML, Deep Learning",Master's,Rejected,Austin,117840,62
1329,Applicant_1329,HR Manager,3,"Angular, JavaScript, Java, Git, Power BI",Master's,Interview,Austin,106038,64
7074,Applicant_7074,Data Analyst,7,"Agile, C++, Data Science, Communication, React, Excel",Associate's,Interview,Boston,61159,50
3764,Applicant_3764,UX Designer,1,"Docker, Git, JavaScript",PhD,Rejected,Boston,85595,87
1587,Applicant_1587,HR Manager,1,"Angular, Communication, SQL, CSS, Agile",Master's,Rejected,Chicago,86078,87
8880,Applicant_8880,Data Analyst,4,"Agile, Project Management, CSS, Cloud Computing, HTML",Associate's,Under Review,San Francisco,53820,84
3108,Applicant_3108,Product Manager,1,"Communication, JavaScript, Tableau",Associate's,Not Shortlisted,Dallas,143251,64
1277,Applicant_1277,HR Manager,9,"Project Management, Agile, Machine Learning",Master's,Offer Made,Dallas,114130,97
3636,Applicant_3636,UX Designer,3,"Git, Docker, Project Management, JavaScript, Java, Data Science, Communication",Master's,Under Review,New York,103307,56
4829,Applicant_4829,Data Scientist,1,"Python, Machine Learning, Angular, SQL, Project Management, Git, JavaScript",Associate's,Offer Made,Dallas,145834,89
2946,Applicant_2946,Data Analyst,6,"Java, C++, HTML, Tableau, Agile",Bachelor's,Under Review,Boston,54257,81
